SERVICE                STATUS
auth-service           Up 43 minutes (healthy)
blockchain-service     Up 43 minutes (healthy)
breeding-service       Up 43 minutes (healthy)
distribution-service   Up 43 minutes (healthy)
file-service           Up 43 minutes (healthy)
ganache                Up 11 hours (healthy)
gateway-service        Up 43 minutes (healthy)
mysql                  Up 8 hours (healthy)
nacos                  Up 11 hours
nginx                  Up 8 hours (unhealthy)
rabbitmq               Up 11 hours (healthy)
redis                  Up 11 hours (healthy)
sales-service          Up About a minute (healthy)
slaughter-service      Up 43 minutes (healthy)
trace-service          Up 43 minutes (healthy)
